video_title,video_length,video_views,published_date,tournament
"Frostbite 2020 SSBU Pools - AngryAlph (Villager) Vs. SL | Sunfish (Fox, Rosa) Smash Ultimate Singles",PT10M52S,27391,2020-02-22T15:42:57Z,Frostbite 2020
Frostbite 2020 SSBU Pools - Pauleke (Lucas) Vs. ATX | Professor Cube (Palutena) Ultimate Singles,PT13M20S,8031,2020-02-22T15:43:53Z,Frostbite 2020
"Frostbite 2020 SSBU Pools - JAQ_ (Mega Man) Vs. WrathHatter (Hero, Villager) Ultimate Singles - SSBU",PT8M56S,5563,2020-02-22T15:54:24Z,Frostbite 2020
"Frostbite 2020 SSBU Pools  - Momo Ari (Lucas) Vs. Eggs (Chrom, Yoshi) Smash Ultimate Singles - SSBU",PT13M34S,5706,2020-02-22T16:00:52Z,Frostbite 2020
Frostbite 2020 SSBU Pools - Flufftea (Palutena) Vs. UTD HMO | Marcel (Pichu) Ultimate Singles - SSBU,PT12M9S,3665,2020-02-22T16:17:37Z,Frostbite 2020
Frostbite 2020 SSBU Pools - LSG | Cyanide (Greninja) Vs. Armada | Smirk (Ken) Smash Ultimate Singles,PT6S,6689,2020-02-22T16:19:21Z,Frostbite 2020
Frostbite 2020 SSBU Pools - HPT | Seth (Yoshi) Vs. OU | Stu (Yoshi) Ultimate Singles - SSBU,PT4M53S,3773,2020-02-22T16:23:28Z,Frostbite 2020
"Frostbite 2020 SSBU Pools - Comet (Fox) Vs. Reach | Merrick (Joker, Byleth) Smash Ultimate Singles",PT4M57S,6896,2020-02-22T16:29:01Z,Frostbite 2020
"Frostbite 2020 SSBU Pools - PG | Plup (Mega Man, Ridley) Vs. RIT | Moist (Yoshi) Ultimate Singles",PT10M34S,15295,2020-02-22T16:48:36Z,Frostbite 2020
"Frostbite 2020 SSBU Pools - VNG | colinies (Young Link, Roy) Vs. FanFu (Inkling) Ultimate Singles",PT11M48S,4143,2020-02-22T16:50:37Z,Frostbite 2020
Frostbite 2020 SSBU Pools - TGG | Mac Attk (Mac) Vs. djb | Laid (Pac-Man) Smash Ultimate Singles,PT7M16S,7154,2020-02-22T16:51:45Z,Frostbite 2020
Frostbite 2020 SSBU Pools - Illuz | Juice (Falco) Vs. AGN | San (Ike) Ultimate Singles - SSBU,PT7M54S,8653,2020-02-22T16:52:11Z,Frostbite 2020
Frostbite 2020 SSBU Pools - LINH | Magister (Incineroar) Vs. BiggieCheeze (Ganon) Ultimate Singles,PT6M24S,45750,2020-02-22T17:03:58Z,Frostbite 2020
"Frostbite 2020 SSBU Pools - FD | TLOreo (Chrom, Joker) Vs. HSE | BooBear (ROB) Ultimate Singles",PT8M30S,3155,2020-02-22T17:04:26Z,Frostbite 2020
Frostbite 2020 SSBU Pools - ATX | Tenni (Pokémon Trainer ) Vs Fooly Weekums (Snake) Ultimate Singles,PT6M22S,2725,2020-02-22T17:27:18Z,Frostbite 2020
Frostbite 2020 SSBU Pools - SG8 | Tea (Pac-Man) Vs. Eden (Snake) Smash Ultimate Singles - SSBU,PT9M20S,9695,2020-02-22T17:27:47Z,Frostbite 2020
Frostbite 2020 SSBU Pools - MkLeo (Joker) Vs. Arconi (Meta Knight) Smash Ultimate Singles - SSBU,PT7M50S,75763,2020-02-22T17:42:02Z,Frostbite 2020
Frostbite 2020 SSBU Pools - R2G | Manzoku (Toon Link ) Vs. AG | Dylster (Lucina) Ultimate Singles,PT8M6S,7166,2020-02-22T17:42:26Z,Frostbite 2020
"Frostbite 2020 SSBU Pools - Dr. BlackGuyGamer (Wario) Vs. milk toast (Wolf, Yoshi) Ultimate Singles",PT7M59S,2668,2020-02-22T17:49:20Z,Frostbite 2020
Frostbite 2020 SSBU Pools - UWU | WutDoIDo (Mega Man) Vs. OU | IdArmed (Pac-Man) Ultimate Singles,PT6M51S,2436,2020-02-22T17:49:52Z,Frostbite 2020
Frostbite 2020 SSBU Pools - UTD BTB | Point_ (Trainer) Vs. Meme Manifest (Mario) Ultimate Singles,PT6M6S,2694,2020-02-22T17:59:05Z,Frostbite 2020
Frostbite 2020 SSBU Pools - TG | K9sbruce (Cloud) Vs. CE | Jopan (Palutena ) Smash Ultimate Singles,PT8M44S,3953,2020-02-22T18:02:23Z,Frostbite 2020
Frostbite 2020 SSBU Pools - Naga (Marth) Vs. Gidy (Roy) Ultimate Singles - SSBU,PT6M16S,4116,2020-02-22T18:05:25Z,Frostbite 2020
Frostbite 2020 SSBU Pools - Runes (Donkey Kong) Vs. Slaps (Ike) Smash Ultimate Singles - SSBU,PT5M42S,7354,2020-02-22T18:13:43Z,Frostbite 2020
Frostbite 2020 SSBU Pools - NEO! (Luigi) Vs. Armada | Elegant (Luigi) Ultimate Singles - SSBU,PT5M21S,100066,2020-02-22T18:20:26Z,Frostbite 2020
Frostbite 2020 SSBU Pools - Gidy (Roy) Vs. Puppeh (Pokémon Trainer) Smash Ultimate Singles - SSBU,PT5M17S,5850,2020-02-22T18:26:12Z,Frostbite 2020
Frostbite 2020 SSBU Pools - Emma (Mega Man ) Vs. EMG | Blacktwins (Pichu) Ultimate Singles - SSBU,PT8M28S,3203,2020-02-22T18:39:43Z,Frostbite 2020
Frostbite 2020 SSBU Pools - Obsidian  (Cloud) Vs. Frostbite | Zinoto (Peach) Smash Ultimate Singles,PT9M10S,3103,2020-02-22T18:40:28Z,Frostbite 2020
Frostbite 2020 SSBU Pools - Hawk (Ike) Vs. Cosmos (Inkling) Ultimate Singles - SSBU,PT6M21S,7292,2020-02-22T18:42:20Z,Frostbite 2020
Frostbite 2020 SSBU Pools - Liquid | Dabuz (Olimar) Vs. LSG | Wormy (Young Link) Ultimate Singles,PT8M39S,4266,2020-02-22T18:49:37Z,Frostbite 2020
"Frostbite 2020 SSBU Pools - Linus (ZSS, Bowser) Vs. Solary | Glutonny (Wario) Ultimate Singles",PT6M6S,7260,2020-02-22T18:50:18Z,Frostbite 2020
"Frostbite 2020 SSBU Pools - OC | Hazmatt (Richter, Ken) Vs SG8 | Kome (Shulk) Smash Ultimate Singles",PT7M6S,5751,2020-02-22T19:02:34Z,Frostbite 2020
Frostbite 2020 SSBU Pools - PG | Marss (Zero Suit Samus) Vs. Plague_2 (Bowser) Ultimate Singles,PT5M8S,14149,2020-02-22T19:03:03Z,Frostbite 2020
Frostbite 2020 SSBU Pools - TG | Raito (Duck Hunt) Vs. Try Hard Train (Pikachu) Ultimate Singles,PT7M48S,7277,2020-02-22T19:09:27Z,Frostbite 2020
